pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1777911382.3951843,217072072,2,1,10,21,39526
1777911382.4899008,217172449,2,0,4,9,74020
1777911382.4918041,217172449,2,1,4,8,31299
1777911382.4935358,217172449,2,0,10,21,79784
1777911382.4970715,217172449,2,1,10,21,39526
1777911382.5916822,217272904,2,0,4,9,74020
1777911382.5963113,217272904,2,1,4,8,31299
1777911382.5978782,217272904,2,0,10,21,79784
1777911382.5992162,217272904,2,1,10,21,39526
1777911382.6904037,217373268,2,0,4,9,74020
1777911382.69233,217373268,2,1,4,8,31299
1777911382.6935897,217373268,2,0,10,21,79784
1777911382.6954355,217373268,2,1,10,21,39526
1777911382.7915056,217473552,2,0,4,8,74018
1777911382.7940683,217473552,2,1,4,8,31299
1777911382.7975004,217473552,2,0,10,21,79784
1777911382.7997687,217473552,2,1,10,21,39526
1777911382.892543,217574622,2,0,4,8,74018
1777911382.894251,217574622,2,1,4,8,31299
1777911382.8961802,217574622,2,0,10,21,79784
1777911382.8976588,217574622,2,1,10,21,39526
1777911382.9931579,217675683,2,0,4,8,74018
