pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1777911472.0908463,306768609,2,0,10,21,79044
1777911472.092089,306768609,2,1,10,21,39569
1777911472.1872501,306869447,2,0,3,6,51259
1777911472.19002,306869447,2,0,4,8,72401
1777911472.19163,306869447,2,1,4,8,30637
1777911472.193207,306869447,2,0,10,20,79047
1777911472.1944964,306869447,2,1,10,20,39573
1777911472.2871463,306969969,2,0,3,6,51259
1777911472.289074,306969969,2,0,4,8,72403
1777911472.2912495,306969969,2,1,4,9,30641
1777911472.292483,306969969,2,0,10,20,79047
1777911472.293484,306969969,2,1,10,21,39578
1777911472.3884258,307070438,2,0,3,6,51259
1777911472.390257,307070438,2,0,4,9,72400
1777911472.3916664,307070438,2,1,4,9,30641
1777911472.393243,307070438,2,0,10,20,79043
1777911472.3945408,307070438,2,1,10,20,39578
1777911472.487922,307170914,2,0,3,6,51259
1777911472.4915051,307170914,2,0,4,9,72395
1777911472.4929285,307170914,2,1,4,8,30643
1777911472.4941847,307170914,2,0,10,20,79036
1777911472.4964664,307170914,2,1,10,20,39578
1777911472.5885808,307271374,2,0,3,6,51259
1777911472.5920148,307271374,2,0,4,9,72395
1777911472.5935316,307271374,2,1,4,9,30643
1777911472.5948186,307271374,2,0,10,20,79038
1777911472.5972424,307271374,2,1,10,20,39579
1777911472.6903017,307371971,2,0,3,6,51259
1777911472.6938186,307371971,2,0,4,9,72390
1777911472.6951299,307371971,2,1,4,9,30645
1777911472.6977973,307371971,2,0,10,20,79030
1777911472.6997714,307371971,2,1,10,20,39578
1777911472.7906475,307472500,2,0,3,6,51259
1777911472.7937467,307472500,2,0,4,8,72378
1777911472.795162,307472500,2,1,4,8,30641
1777911472.7977233,307472500,2,0,10,20,79017
1777911472.7999318,307472500,2,1,10,21,39574
1777911472.8905807,307572957,2,0,3,6,51259
1777911472.8941586,307572957,2,0,4,8,72364
1777911472.897186,307572957,2,1,4,8,30634
1777911472.9001403,307572957,2,0,10,20,79004
1777911472.9021263,307572957,2,1,10,20,39567
1777911472.9905634,307673406,2,0,3,6,51259
1777911472.992823,307673406,2,0,4,9,72356
1777911472.9939795,307673406,2,1,4,9,30629
1777911472.9973629,307673406,2,0,10,20,78994
1777911472.9993334,307673406,2,1,10,20,39563
