pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1777911499.4852493,334168063,2,0,3,6,51259
1777911499.4878955,334168063,2,0,4,9,74208
1777911499.4897394,334168063,2,1,4,9,31533
1777911499.492704,334168063,2,0,10,20,79993
1777911499.4949741,334168063,2,1,10,20,39616
1777911499.5857735,334268546,2,0,3,6,51259
1777911499.588799,334268546,2,0,4,9,74208
1777911499.590602,334268546,2,1,4,9,31534
1777911499.5924795,334268546,2,0,10,20,79991
1777911499.5941005,334268546,2,1,10,20,39616
1777911499.6865788,334369036,2,0,3,6,51259
1777911499.6884267,334369036,2,0,4,9,74208
1777911499.6901643,334369036,2,1,4,9,31535
1777911499.69162,334369036,2,0,10,20,79991
1777911499.692961,334369036,2,1,10,20,39614
1777911499.7867403,334469549,2,0,3,6,51259
1777911499.7891572,334469549,2,0,4,8,74208
1777911499.7907612,334469549,2,1,4,8,31536
1777911499.7924569,334469549,2,0,10,20,79993
1777911499.7940452,334469549,2,1,10,20,39617
1777911499.8869874,334570039,2,0,3,6,51259
1777911499.8889563,334570039,2,0,4,8,74206
1777911499.890502,334570039,2,1,4,8,31534
1777911499.8919246,334570039,2,0,10,21,79994
1777911499.89333,334570039,2,1,10,21,39617
1777911499.987178,334670492,2,0,3,6,51259
1777911499.989429,334670492,2,0,4,8,74205
1777911499.9908364,334670492,2,1,4,8,31535
1777911499.9922607,334670492,2,0,10,20,79991
1777911499.9939017,334670492,2,1,10,21,39615
1777911500.0885787,334771087,2,0,3,6,51259
1777911500.0909026,334771087,2,0,4,8,74210
1777911500.0924907,334771087,2,1,4,8,31535
1777911500.0938396,334771087,2,0,10,21,79994
1777911500.095597,334771087,2,1,10,21,39618
1777911500.190393,334872410,2,0,3,6,51259
1777911500.1919916,334872410,2,0,4,9,74209
1777911500.1932664,334872410,2,1,4,9,31536
1777911500.1948938,334872410,2,0,10,20,79991
1777911500.1969395,334872410,2,1,10,20,39616
1777911500.2901552,334973599,2,0,3,6,51259
1777911500.2920814,334973599,2,0,4,8,74207
1777911500.2938707,334973599,2,1,4,8,31534
1777911500.2968938,334973599,2,0,10,20,79992
1777911500.2986634,334973599,2,1,10,20,39615
1777911500.3913865,335074040,2,0,3,6,51259
1777911500.3935275,335074040,2,0,4,8,74208
1777911500.3965387,335074040,2,1,4,8,31535
1777911500.3981655,335074040,2,0,10,20,79991
1777911500.399501,335074040,2,1,10,21,39616
1777911500.4922092,335175190,2,0,3,6,51259
1777911500.497283,335175190,2,0,4,8,74207
1777911500.499275,335175190,2,1,4,8,31533
1777911500.5013738,335175190,2,0,10,21,79993
1777911500.5027769,335175190,2,1,10,20,39615
1777911500.5930552,335275794,2,0,3,6,51259
1777911500.5949395,335275794,2,0,4,9,74210
1777911500.5967054,335275794,2,1,4,9,31533
1777911500.5987487,335275794,2,0,10,20,79995
1777911500.600416,335275794,2,1,10,20,39616
1777911500.6936662,335376955,2,0,3,6,51259
1777911500.6957114,335376955,2,0,4,9,74206
1777911500.69757,335376955,2,1,4,9,31530
1777911500.6988518,335376955,2,0,10,20,79988
1777911500.7009058,335376955,2,1,10,20,39610
1777911500.7947772,335477671,2,0,3,6,51259
1777911500.797362,335477671,2,0,4,8,74191
1777911500.7997918,335477671,2,1,4,8,31518
1777911500.801917,335477671,2,0,10,20,79980
1777911500.8045378,335477671,2,1,10,21,39603
1777911500.896296,335578156,2,0,3,6,51259
1777911500.8986678,335578156,2,0,4,9,74191
1777911500.9011042,335578156,2,1,4,9,31524
1777911500.90343,335578156,2,0,10,21,79978
1777911500.9065058,335578156,2,1,10,20,39609
1777911500.997366,335679304,2,0,3,6,51259
1777911500.9993303,335679304,2,0,4,8,74202
1777911501.001232,335679304,2,1,4,9,31537
1777911501.0028584,335679304,2,0,10,21,79990
1777911501.0042567,335679304,2,1,10,21,39620
1777911501.0976005,335780593,2,0,3,6,51259
1777911501.099867,335780593,2,0,4,9,74197
1777911501.101741,335780593,2,1,4,9,31535
1777911501.103358,335780593,2,0,10,20,79984
1777911501.104794,335780593,2,1,10,20,39619
1777911501.198029,335881052,2,0,3,6,51259
1777911501.2003312,335881052,2,0,4,9,74196
1777911501.2018936,335881052,2,1,4,9,31532
1777911501.2039838,335881052,2,0,10,20,79984
1777911501.2056906,335881052,2,1,10,21,39617
1777911501.2987154,335981532,2,0,3,6,51259
1777911501.3021202,335981532,2,0,4,9,74194
1777911501.3043938,335981532,2,1,4,9,31536
1777911501.3060842,335981532,2,0,10,21,79983
1777911501.30753,335981532,2,1,10,20,39619
1777911501.39855,336082018,2,0,3,6,51259
1777911501.4004958,336082018,2,0,4,8,74192
1777911501.401904,336082018,2,1,4,8,31533
1777911501.4040732,336082018,2,0,10,21,79979
1777911501.405581,336082018,2,1,10,21,39616
1777911501.4986534,336182540,2,0,3,6,51259
1777911501.4997828,336182540,2,0,4,8,74191
1777911501.5017362,336182540,2,1,4,8,31530
1777911501.504264,336182540,2,0,10,21,79976
1777911501.5052302,336182540,2,1,10,20,39614
1777911501.5990994,336282987,2,0,3,6,51259
1777911501.6006522,336282987,2,0,4,9,74194
1777911501.601833,336282987,2,1,4,9,31534
1777911501.6030235,336282987,2,0,10,20,79984
1777911501.6036346,336282987,2,1,10,21,39616
1777911501.7004786,336383537,2,0,3,6,51259
1777911501.7026293,336383537,2,0,4,9,74203
1777911501.7048335,336383537,2,1,4,9,31536
1777911501.7064047,336383537,2,0,10,20,79989
1777911501.707894,336383537,2,1,10,20,39618
1777911501.8013475,336484001,2,0,3,6,51259
1777911501.8037035,336484001,2,0,4,9,74203
1777911501.8056474,336484001,2,1,4,8,31528
1777911501.8080616,336484001,2,0,10,20,79987
1777911501.8103158,336484001,2,1,10,20,39613
1777911501.9010146,336584478,2,0,3,6,51259
1777911501.9046175,336584478,2,0,4,9,74201
1777911501.9061334,336584478,2,1,4,8,31527
1777911501.9078727,336584478,2,0,10,20,79984
1777911501.9091973,336584478,2,1,10,21,39607
1777911502.0012822,336684942,2,0,3,6,51259
1777911502.0028598,336684942,2,0,4,8,74197
1777911502.0054016,336684942,2,1,4,8,31524
1777911502.006796,336684942,2,0,10,21,79983
1777911502.008324,336684942,2,1,10,21,39606
1777911502.1029475,336785357,2,0,3,6,51259
1777911502.1048594,336785357,2,0,4,8,74200
1777911502.1067817,336785357,2,1,4,8,31526
1777911502.109659,336785357,2,0,10,21,79984
1777911502.111245,336785357,2,1,10,21,39607
