DBG,count0=0,count1=0,count2=0,count3=0
LH2,143962769,2,0,2,5,49742
LH2,143962769,2,0,3,7,71876
LH2,143962769,2,0,4,8,69953
LH2,143962769,2,1,4,9,27418
LH2,143962769,2,0,5,11,10884
LH2,143962769,2,1,5,11,10884
LH2,143962769,2,0,6,13,58297
LH2,143962769,2,0,10,20,76073
LH2,143962769,2,1,10,20,36610
LH2,143962769,2,0,12,24,5661
LH2,143962769,2,0,13,26,23388
LH2,143962769,2,1,13,26,23390
LH2,143962769,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,144064525,2,0,2,5,49742
LH2,144064525,2,0,3,7,71876
LH2,144064525,2,0,4,9,69967
LH2,144064525,2,1,4,9,27429
LH2,144064525,2,0,5,11,10884
LH2,144064525,2,1,5,11,10884
LH2,144064525,2,0,6,13,58297
LH2,144064525,2,0,10,20,76089
LH2,144064525,2,1,10,20,36624
LH2,144064525,2,0,12,24,5661
LH2,144064525,2,0,13,26,23388
LH2,144064525,2,1,13,26,23390
LH2,144064525,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,144166010,2,0,2,5,49742
LH2,144166010,2,0,3,7,71876
LH2,144166010,2,0,4,8,69976
LH2,144166010,2,1,4,8,27436
LH2,144166010,2,0,5,11,10884
LH2,144166010,2,1,5,11,10884
LH2,144166010,2,0,6,13,58297
LH2,144166010,2,0,10,20,76110
LH2,144166010,2,1,10,20,36639
LH2,144166010,2,0,12,24,5661
LH2,144166010,2,0,13,26,23388
LH2,144166010,2,1,13,26,23390
LH2,144166010,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,144267078,2,0,2,5,49742
LH2,144267078,2,0,3,7,71876
LH2,144267078,2,0,4,9,69992
LH2,144267078,2,1,4,9,27442
LH2,144267078,2,0,5,11,10884
LH2,144267078,2,1,5,11,10884
LH2,144267078,2,0,6,13,58297
LH2,144267078,2,0,10,20,76123
LH2,144267078,2,1,10,20,36649
LH2,144267078,2,0,12,24,5661
LH2,144267078,2,0,13,26,23388
LH2,144267078,2,1,13,26,23390
LH2,144267078,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,144368187,2,0,2,5,49742
LH2,144368187,2,0,3,7,71876
LH2,144368187,2,0,4,9,69995
LH2,144368187,2,1,4,9,27439
LH2,144368187,2,0,5,11,10884
LH2,144368187,2,1,5,11,10884
LH2,144368187,2,0,6,13,58297
LH2,144368187,2,0,10,20,76127
LH2,144368187,2,1,10,20,36644
LH2,144368187,2,0,12,24,5661
LH2,144368187,2,0,13,26,23388
LH2,144368187,2,1,13,26,23390
LH2,144368187,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,144470022,2,0,2,5,49742
LH2,144470022,2,0,3,7,71876
LH2,144470022,2,0,4,9,69997
LH2,144470022,2,1,4,9,27440
LH2,144470022,2,0,5,11,10884
LH2,144470022,2,1,5,11,10884
LH2,144470022,2,0,6,13,58297
LH2,144470022,2,0,10,20,76129
LH2,144470022,2,1,10,20,36644
LH2,144470022,2,0,12,24,5661
LH2,144470022,2,0,13,26,23388
LH2,144470022,2,1,13,26,23390
LH2,144470022,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,144571618,2,0,2,5,49742
LH2,144571618,2,0,3,7,71876
LH2,144571618,2,0,4,8,70009
LH2,144571618,2,1,4,8,27452
LH2,144571618,2,0,5,11,10884
LH2,144571618,2,1,5,11,10884
LH2,144571618,2,0,6,13,58297
LH2,144571618,2,0,10,20,76140
LH2,144571618,2,1,10,20,36658
LH2,144571618,2,0,12,24,5661
LH2,144571618,2,0,13,26,23388
LH2,144571618,2,1,13,26,23390
LH2,144571618,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,144672720,2,0,2,5,49742
LH2,144672720,2,0,3,7,71876
LH2,144672720,2,0,4,8,70005
LH2,144672720,2,1,4,8,27445
LH2,144672720,2,0,5,11,10884
LH2,144672720,2,1,5,11,10884
LH2,144672720,2,0,6,13,58297
LH2,144672720,2,0,10,20,76145
LH2,144672720,2,1,10,20,36658
LH2,144672720,2,0,12,24,5661
LH2,144672720,2,0,13,26,23388
LH2,144672720,2,1,13,26,23390
LH2,144672720,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,144774516,2,0,2,5,49742
LH2,144774516,2,0,3,7,71876
LH2,144774516,2,0,4,8,70008
LH2,144774516,2,1,4,8,27454
LH2,144774516,2,0,5,11,10884
LH2,144774516,2,1,5,11,10884
LH2,144774516,2,0,6,13,58297
LH2,144774516,2,0,10,20,76147
LH2,144774516,2,1,10,20,36663
LH2,144774516,2,0,12,24,5661
LH2,144774516,2,0,13,26,23388
LH2,144774516,2,1,13,26,23390
LH2,144774516,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,144876379,2,0,2,5,49742
LH2,144876379,2,0,3,7,71876
LH2,144876379,2,0,4,9,70041
LH2,144876379,2,1,4,9,27488
LH2,144876379,2,0,5,11,10884
LH2,144876379,2,1,5,11,10884
LH2,144876379,2,0,6,13,58297
LH2,144876379,2,0,10,20,76158
LH2,144876379,2,1,10,21,36693
LH2,144876379,2,0,12,24,5661
LH2,144876379,2,0,13,26,23388
LH2,144876379,2,1,13,26,23390
LH2,144876379,2,0,14,28,13697
DBG,count0=0,count1=0,count2=0,count3=0
LH2,144977397,2,0,2,5,49742
LH2,144977397,2,0,3,7,71876
LH2,144977397,2,0,4,9,70049
LH2,144977397,2,1,4,9,27506
