pc_time_s,time_us,sensor,sweep,basestation,polynomial,lfsr_location
1778149547.6175654,216519322,1,0,4,9,41384
1778149547.6183655,216519322,1,1,4,9,76785
1778149547.6195872,216519322,1,0,10,20,39259
1778149547.620662,216519322,1,1,10,21,74365
1778149547.6217387,216519322,1,0,11,22,32015
1778149547.6231525,216519322,2,0,4,9,75833
1778149547.6241126,216519322,2,1,4,9,40479
1778149547.6248825,216519322,2,0,10,20,73438
1778149547.625813,216519322,2,1,10,20,38557
1778149547.626671,216519322,3,0,4,8,76059
1778149547.6275504,216519322,3,1,4,9,40324
1778149547.628355,216519322,3,0,8,16,64933
1778149547.6291711,216519322,3,0,10,20,38084
1778149547.6300216,216519322,3,1,10,20,73225
1778149547.630839,216620961,0,0,1,3,32752
1778149547.7142966,216620961,0,0,4,9,41205
1778149547.7149556,216620961,0,1,4,8,76986
1778149547.715376,216620961,0,0,10,21,38758
1778149547.7158058,216620961,0,1,10,21,74154
1778149547.7162676,216620961,1,0,0,1,5614
1778149547.7166507,216620961,1,0,4,9,41362
1778149547.717171,216620961,1,1,4,9,76764
1778149547.7179003,216620961,1,0,10,21,39250
1778149547.7187207,216620961,1,1,10,20,74360
1778149547.7195406,216620961,1,0,11,22,32015
1778149547.720349,216620961,2,0,4,9,75812
1778149547.7211406,216620961,2,1,4,9,40453
1778149547.721869,216620961,2,0,10,20,73428
1778149547.7226634,216620961,2,1,10,21,38545
1778149547.7234843,216620961,3,0,4,9,76039
1778149547.7242515,216620961,3,1,4,9,40309
1778149547.7250128,216620961,3,0,8,16,64933
1778149547.725774,216620961,3,0,10,21,38082
1778149547.7266188,216620961,3,1,10,20,73225
1778149547.7274752,216723880,0,0,1,3,32752
1778149547.8171883,216723880,0,0,4,8,41191
1778149547.818141,216723880,0,1,4,8,76963
1778149547.819042,216723880,0,0,10,21,38754
1778149547.8199944,216723880,0,1,10,21,74143
1778149547.8209808,216723880,1,0,0,1,5614
1778149547.8219054,216723880,1,0,4,8,41349
1778149547.8227744,216723880,1,1,4,8,76744
1778149547.823645,216723880,1,0,10,20,39244
1778149547.8245735,216723880,1,1,10,21,74346
1778149547.8255062,216723880,1,0,11,22,32015
1778149547.8263743,216723880,2,0,4,8,75788
1778149547.827175,216723880,2,1,4,8,40432
1778149547.8279488,216723880,2,0,10,20,73418
1778149547.8290508,216723880,2,1,10,20,38542
1778149547.8299806,216723880,3,0,4,8,76016
1778149547.8308713,216723880,3,1,4,8,40291
1778149547.831734,216723880,3,0,8,16,64933
1778149547.8326356,216723880,3,0,10,21,38073
1778149547.833605,216723880,3,1,10,20,73225
1778149547.8345375,216825395,0,0,1,3,32752
1778149547.91902,216825395,0,0,4,9,41169
1778149547.9199164,216825395,0,1,4,9,76929
1778149547.9206872,216825395,0,0,10,21,38751
1778149547.9215524,216825395,0,1,10,21,74124
1778149547.9224536,216825395,1,0,0,1,5614
1778149547.923829,216825395,1,0,4,8,41314
1778149547.925405,216825395,1,1,4,9,76706
1778149547.926937,216825395,1,0,10,21,39238
1778149547.9285245,216825395,1,1,10,20,74337
1778149547.9301717,216825395,1,0,11,22,32015
1778149547.931794,216825395,2,0,4,8,40399
1778149547.9334126,216825395,2,1,4,8,75757
1778149547.9349382,216825395,2,0,10,20,73402
1778149547.9364831,216825395,2,1,10,21,38524
1778149547.93805,216825395,3,0,4,9,75988
1778149547.9393613,216825395,3,1,4,8,40259
1778149547.940687,216825395,3,0,8,16,64933
1778149547.9422655,216825395,3,0,10,20,38068
1778149547.9431398,216825395,3,1,10,20,73225
1778149547.9443562,216926937,0,0,1,3,32752
1778149548.020364,216926937,0,0,4,8,41151
1778149548.0213375,216926937,0,1,4,8,76911
1778149548.0222156,216926937,0,0,10,21,38742
1778149548.0231044,216926937,0,1,10,21,74114
1778149548.0239253,216926937,1,0,0,1,5614
1778149548.0246964,216926937,1,0,4,8,41294
1778149548.0255,216926937,1,1,4,8,76695
1778149548.0262961,216926937,1,0,10,21,39233
1778149548.0271513,216926937,1,1,10,20,74337
1778149548.0279703,216926937,1,0,11,22,32015
1778149548.0288484,216926937,2,0,4,9,40372
1778149548.0297527,216926937,2,1,4,9,75738
1778149548.0305488,216926937,2,0,10,20,73392
1778149548.0314152,216926937,2,1,10,21,38511
1778149548.0323477,216926937,3,0,4,8,75970
1778149548.033159,216926937,3,1,4,8,40239
1778149548.033924,216926937,3,0,8,16,64933
1778149548.0353336,216926937,3,0,10,20,38068
1778149548.0366266,216926937,3,1,10,20,73225
1778149548.0380044,217029028,0,0,1,3,32752
1778149548.1228316,217029028,0,0,4,8,41129
1778149548.1242452,217029028,0,1,4,8,76891
1778149548.1256855,217029028,0,0,10,21,38725
1778149548.127184,217029028,0,1,10,21,74096
1778149548.1287458,217029028,1,0,0,1,5614
1778149548.1301684,217029028,1,0,4,8,41274
1778149548.131412,217029028,1,1,4,8,76694
1778149548.1321847,217029028,1,0,10,21,39227
1778149548.1330125,217029028,1,1,10,20,74337
1778149548.1337833,217029028,1,0,11,22,32015
1778149548.1345916,217029028,2,0,4,8,40346
1778149548.1353903,217029028,2,1,4,8,75733
1778149548.136146,217029028,2,0,10,21,73394
1778149548.1369536,217029028,2,1,10,21,38498
1778149548.1377382,217029028,3,0,4,8,75950
1778149548.13851,217029028,3,1,4,8,40217
1778149548.139253,217029028,3,0,8,16,64933
1778149548.1400168,217029028,3,0,10,20,38068
1778149548.1408224,217029028,3,1,10,20,73225
1778149548.1415882,217131025,0,0,1,3,32752
1778149548.2245607,217131025,0,0,4,8,41098
1778149548.2254002,217131025,0,1,4,9,76866
1778149548.2262468,217131025,0,0,10,20,38727
1778149548.2270696,217131025,0,1,10,20,74094
1778149548.2278738,217131025,1,0,0,1,5614
1778149548.228578,217131025,1,0,4,8,41242
1778149548.2293572,217131025,1,1,4,8,76636
1778149548.230126,217131025,1,0,10,20,39219
1778149548.2309434,217131025,1,1,10,20,74337
1778149548.2317505,217131025,1,0,11,22,32015
1778149548.2325099,217131025,2,0,4,9,40324
1778149548.2332864,217131025,2,1,4,9,75710
1778149548.2340424,217131025,2,0,10,20,73388
1778149548.2348979,217131025,2,1,10,21,38490
1778149548.23579,217131025,3,0,4,8,75911
1778149548.236537,217131025,3,1,4,8,40183
1778149548.237323,217131025,3,0,8,16,64933
1778149548.2381103,217131025,3,0,10,20,38068
1778149548.2389252,217131025,3,1,10,20,73225
1778149548.2397332,217232690,0,0,1,3,32752
1778149548.325861,217232690,0,0,4,9,41076
1778149548.3267124,217232690,0,1,4,8,76814
1778149548.3274755,217232690,0,0,10,21,38737
1778149548.3282623,217232690,0,1,10,21,74063
1778149548.329078,217232690,1,0,0,1,5614
1778149548.3298295,217232690,1,0,1,3,23587
1778149548.330647,217232690,1,0,4,9,41208
1778149548.331424,217232690,1,1,4,9,76572
1778149548.3321552,217232690,1,0,10,20,39222
1778149548.332973,217232690,1,1,10,20,74337
1778149548.3337834,217232690,1,0,11,22,32015
1778149548.33458,217232690,2,0,4,8,40271
1778149548.335303,217232690,2,1,4,8,75639
1778149548.3361268,217232690,2,0,10,20,73341
1778149548.3369794,217232690,2,1,10,20,38475
1778149548.3377845,217232690,3,0,4,9,75867
1778149548.3385704,217232690,3,1,4,9,40148
1778149548.3393307,217232690,3,0,8,16,64933
1778149548.340123,217232690,3,0,10,20,38068
1778149548.3409479,217232690,3,1,10,20,73225
1778149548.3417535,217334541,0,0,1,3,32752
