time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473126.1750672,2,0,4,9,87232
1777473126.1801705,2,0,10,20,25285
1777473126.186235,2,1,4,9,49746
1777473126.190261,2,1,10,20,62114
1777473126.277914,2,0,4,9,87231
1777473126.2823849,2,0,10,21,25287
1777473126.2897236,2,1,4,9,49415
1777473126.2932634,2,1,10,21,62117
1777473126.3818655,2,0,4,9,87693
1777473126.3865654,2,0,10,21,25587
1777473126.3948379,2,1,4,8,49411
1777473126.3978956,2,1,10,21,62115
1777473126.4856985,2,0,4,8,87694
1777473126.493095,2,0,10,20,25592
1777473126.4991071,2,1,4,9,49413
1777473126.5032878,2,1,10,20,62114
1777473126.588285,2,0,4,9,87232
1777473126.5939264,2,0,10,20,25595
1777473126.6001692,2,1,4,9,49748
1777473126.6029654,2,1,10,21,62115
1777473126.6950822,2,0,4,8,87695
1777473126.6995096,2,0,10,20,25593
1777473126.7045143,2,1,4,8,49416
1777473126.7067854,2,1,10,20,61621
1777473126.7832031,2,0,4,8,87692
1777473126.7857,2,0,10,20,25285
1777473126.7892056,2,1,4,8,49740
1777473126.791201,2,1,10,20,61601
1777473126.8980582,2,0,4,8,87695
1777473126.902592,2,0,10,21,25584
1777473126.9097633,2,1,4,8,49746
1777473126.91266,2,1,10,21,61595
1777473127.0024662,2,0,4,9,87693
1777473127.0081003,2,0,10,21,25587
1777473127.0151384,2,1,4,8,49746
1777473127.0178986,2,1,10,21,62117
1777473127.108061,2,0,4,8,87694
1777473127.1161556,2,0,10,20,25287
1777473127.1225905,2,1,4,8,49746
1777473127.125699,2,1,10,20,62117
1777473127.206583,2,0,4,9,87225
1777473127.2100043,2,0,10,21,25584
1777473127.2140863,2,1,4,9,49746
1777473127.2159364,2,1,10,21,61596
1777473127.31072,2,0,4,8,87694
1777473127.3155072,2,0,10,20,25287
1777473127.321265,2,1,4,8,49746
1777473127.325154,2,1,10,21,62118
1777473127.412768,2,0,4,8,87694
1777473127.417812,2,0,10,20,25592
1777473127.424794,2,1,4,9,49748
1777473127.4272933,2,1,10,21,61595
1777473127.5191767,2,0,4,9,87229
1777473127.5239573,2,0,10,20,25595
1777473127.5314698,2,1,4,9,49748
1777473127.5343692,2,1,10,20,62116
1777473127.6215355,2,0,4,9,87692
1777473127.6266525,2,0,10,20,25289
1777473127.6330214,2,1,4,9,87225
1777473127.6363444,2,1,10,21,62120
1777473127.724097,2,0,4,8,87693
1777473127.7291806,2,0,10,20,25597
1777473127.7351732,2,1,4,8,49410
1777473127.7385726,2,1,10,20,62118
1777473127.8295548,2,0,4,9,87692
1777473127.8341546,2,0,10,20,25596
1777473127.8417656,2,1,4,8,49410
1777473127.8455107,2,1,10,20,62118
1777473127.9317858,2,0,4,9,87692
1777473127.9364872,2,0,10,20,25596
1777473127.9450917,2,1,4,9,49413
1777473127.948163,2,1,10,20,61592
1777473128.0354836,2,0,4,8,87229
1777473128.0408387,2,0,10,21,25289
1777473128.0472112,2,1,4,8,49410
1777473128.0504036,2,1,10,21,61596
1777473128.1414711,2,0,4,8,49410
1777473128.1466978,2,0,10,21,25596
1777473128.1531959,2,1,4,8,87694
1777473128.1568413,2,1,10,21,62118
1777473128.2445157,2,0,4,9,49413
1777473128.2493846,2,0,10,21,25589
1777473128.2551453,2,1,4,9,87692
1777473128.258515,2,1,10,20,62119
1777473128.343943,2,0,4,9,49411
1777473128.3490572,2,0,10,21,25596
1777473128.355189,2,1,4,9,87691
1777473128.359038,2,1,10,21,62119
1777473128.448419,2,0,4,8,49742
1777473128.4535782,2,0,10,20,25597
1777473128.4612515,2,1,4,8,87229
1777473128.463811,2,1,10,20,61601
1777473128.5493698,2,0,4,9,87691
1777473128.554829,2,0,10,21,25594
1777473128.5630999,2,1,4,9,49412
1777473128.5660782,2,1,10,21,62118
1777473128.6581159,2,0,4,9,87223
1777473128.6634586,2,0,10,20,25289
1777473128.6690807,2,1,4,9,49412
1777473128.6720433,2,1,10,20,62118
1777473128.758536,2,0,4,8,87228
1777473128.7644143,2,0,10,21,25596
1777473128.7713668,2,1,4,8,49744
1777473128.7755914,2,1,10,21,62120
1777473128.862879,2,0,4,9,87693
1777473128.8683152,2,0,10,20,25287
1777473128.875318,2,1,4,9,49413
1777473128.8789856,2,1,10,21,62118
1777473128.967359,2,0,4,8,87693
1777473128.9728994,2,0,10,20,25594
1777473128.9797907,2,1,4,8,49389
1777473128.982973,2,1,10,20,62117
1777473129.0691426,2,0,4,8,87229
1777473129.074351,2,0,10,21,25587
1777473129.0809743,2,1,4,8,49412
1777473129.0841439,2,1,10,21,62119
1777473129.1717787,2,0,4,9,49744
1777473129.176909,2,0,10,21,25288
1777473129.1828957,2,1,4,9,87223
1777473129.1857357,2,1,10,21,62118
1777473129.2776656,2,0,4,9,49744
1777473129.2828035,2,0,10,21,25595
1777473129.2886515,2,1,4,9,87222
1777473129.2921956,2,1,10,21,62116
1777473129.3809981,2,0,4,9,49743
1777473129.386329,2,0,10,21,25288
1777473129.3947394,2,1,4,9,87693
1777473129.3986247,2,1,10,21,62117
1777473129.4727442,2,0,4,8,49744
1777473129.4765406,2,0,10,20,25595
1777473129.480785,2,1,4,8,87692
1777473129.4826121,2,1,10,20,62119
1777473129.5839732,2,0,4,9,87690
1777473129.588614,2,0,10,21,25289
1777473129.5946,2,1,4,9,49741
1777473129.5973468,2,1,10,21,61608
1777473129.691248,2,0,4,9,87692
1777473129.6960337,2,0,10,20,25287
1777473129.7024384,2,1,4,9,49745
