time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473076.033508,2,1,4,8,93552
1777473076.0363717,2,1,10,20,19999
1777473076.1241753,2,0,4,9,55204
1777473076.1303937,2,0,10,21,56179
1777473076.1366262,2,1,4,9,93568
1777473076.1400876,2,1,10,21,19611
1777473076.2297509,2,0,4,9,55700
1777473076.2349384,2,0,10,21,55522
1777473076.2422662,2,1,4,9,93552
1777473076.2461321,2,1,10,21,19999
1777473076.3332758,2,0,4,8,55203
1777473076.3379703,2,0,10,21,56180
1777473076.344308,2,1,4,8,93569
1777473076.3470452,2,1,10,21,19611
1777473076.4361582,2,0,4,8,55708
1777473076.4409683,2,0,10,20,56179
1777473076.450193,2,1,4,8,92970
1777473076.4554722,2,1,10,21,19999
1777473076.5386305,2,0,4,8,55708
1777473076.545388,2,0,10,21,56179
1777473076.5512812,2,1,4,8,93570
1777473076.5557003,2,1,10,21,19609
1777473076.6425161,2,0,4,9,55207
1777473076.6483345,2,0,10,21,56178
1777473076.654605,2,1,4,8,93561
1777473076.6578927,2,1,10,21,19608
1777473076.7471411,2,0,4,9,55703
1777473076.7522008,2,0,10,20,56178
1777473076.7589889,2,1,4,9,93570
1777473076.7622313,2,1,10,21,19998
1777473076.8469481,2,0,4,9,55207
1777473076.8611846,2,0,10,20,56178
1777473076.8660116,2,1,4,9,92961
1777473076.8690357,2,1,10,21,19998
1777473076.9411983,2,0,4,9,55205
1777473076.944103,2,0,10,20,56178
1777473076.9472642,2,1,4,8,93562
1777473076.9487135,2,1,10,21,19999
1777473077.0566764,2,0,4,8,55206
1777473077.0624676,2,0,10,20,56177
1777473077.0687172,2,1,4,8,93568
1777473077.0730205,2,1,10,20,19997
1777473077.159834,2,0,4,9,55205
1777473077.164713,2,0,10,20,56178
1777473077.1714637,2,1,4,9,93552
1777473077.1753082,2,1,10,20,19609
1777473077.261513,2,0,4,9,55699
1777473077.2693293,2,0,10,21,56177
1777473077.278711,2,1,4,9,93551
1777473077.281529,2,1,10,21,19998
1777473077.3648238,2,0,4,8,55708
1777473077.3698251,2,0,10,21,56177
1777473077.377823,2,1,4,8,92970
1777473077.3806648,2,1,10,20,19607
1777473077.467308,2,0,4,9,55205
1777473077.4723694,2,0,10,20,56178
1777473077.4790761,2,1,4,9,93570
1777473077.4827561,2,1,10,20,19997
1777473077.5768292,2,0,4,9,55204
1777473077.5824013,2,0,10,20,56178
1777473077.591537,2,1,4,9,92974
1777473077.5971751,2,1,10,20,19997
1777473077.668945,2,0,4,9,55702
1777473077.672433,2,0,10,21,56174
1777473077.6772423,2,1,4,9,93570
1777473077.6799114,2,1,10,21,19605
1777473077.7780876,2,0,4,9,55205
1777473077.782537,2,0,10,21,56176
1777473077.7889273,2,1,4,9,93568
1777473077.7930105,2,1,10,21,19998
1777473077.8810322,2,0,4,8,55712
1777473077.8858159,2,0,10,21,56175
1777473077.893339,2,1,4,8,92974
1777473077.8967843,2,1,10,21,19998
1777473077.9890964,2,0,4,8,55709
1777473077.9938931,2,0,10,20,56176
1777473077.9997947,2,1,4,8,92969
1777473078.002741,2,1,10,20,19997
1777473078.08974,2,0,4,8,55206
1777473078.0946493,2,0,10,21,56174
1777473078.1008627,2,1,4,9,93552
1777473078.103979,2,1,10,21,19997
1777473078.1937804,2,0,4,8,55206
1777473078.1981506,2,0,10,21,56173
1777473078.2056456,2,1,4,9,93552
1777473078.2092028,2,1,10,21,19605
1777473078.2980018,2,0,4,9,55700
1777473078.301454,2,0,10,21,56175
1777473078.3071327,2,1,4,8,93569
1777473078.309302,2,1,10,21,19997
1777473078.3999283,2,0,4,8,55710
1777473078.4050777,2,0,10,21,56172
1777473078.4125335,2,1,4,8,93569
1777473078.4155195,2,1,10,21,19997
1777473078.5020008,2,0,4,9,55704
1777473078.5076585,2,0,10,20,56173
1777473078.514169,2,1,4,8,93569
1777473078.516984,2,1,10,21,19603
