time_s,sensor,sweep,basestation,polynomial,lfsr_location
1777473005.9295812,2,1,10,20,57590
1777473006.0198033,2,0,4,8,48957
1777473006.025597,2,0,10,21,21109
1777473006.0316317,2,1,4,8,86465
1777473006.0333984,2,1,10,21,57592
1777473006.122839,2,0,4,9,87070
1777473006.1287723,2,0,10,21,20802
1777473006.1345396,2,1,4,9,49437
1777473006.1364923,2,1,10,21,57126
1777473006.226895,2,0,4,9,87067
1777473006.2360837,2,0,10,20,21110
1777473006.2429671,2,1,4,9,48964
1777473006.2446501,2,1,10,20,57122
1777473006.329757,2,0,4,9,87069
1777473006.334532,2,0,10,20,21110
1777473006.341412,2,1,4,9,86457
1777473006.343141,2,1,10,20,57591
1777473006.4305723,2,0,4,8,87065
1777473006.4357378,2,0,10,20,21108
1777473006.442389,2,1,4,8,48970
1777473006.44392,2,1,10,20,57122
1777473006.5336223,2,0,4,8,86477
1777473006.5395434,2,0,10,21,21112
1777473006.545429,2,1,4,8,49439
1777473006.5471835,2,1,10,21,57126
1777473006.6405582,2,0,4,8,87065
1777473006.645793,2,0,10,20,20804
1777473006.6516025,2,1,4,8,48967
1777473006.65326,2,1,10,21,57593
1777473006.7391624,2,0,4,8,87067
1777473006.7448354,2,0,10,20,21101
1777473006.750239,2,1,4,9,49435
1777473006.7517138,2,1,10,20,57122
1777473006.8443565,2,0,4,9,87066
1777473006.8496027,2,0,10,20,20803
1777473006.8561285,2,1,4,9,49434
1777473006.8579009,2,1,10,20,57590
1777473006.9429243,2,0,4,9,86457
1777473006.9479463,2,0,10,20,21110
1777473006.9534461,2,1,4,9,49435
1777473006.9572434,2,1,10,20,57590
1777473007.0493636,2,0,4,8,87068
1777473007.0549572,2,0,10,20,21108
1777473007.061951,2,1,4,9,49434
1777473007.0636897,2,1,10,20,57590
1777473007.1494465,2,0,4,8,87068
1777473007.1567557,2,0,10,20,20800
1777473007.1652129,2,1,4,8,87065
1777473007.1668031,2,1,10,20,57589
1777473007.253244,2,0,4,9,49435
1777473007.25808,2,0,10,21,21112
1777473007.2647498,2,1,4,9,87065
1777473007.266428,2,1,10,21,57125
1777473007.3586957,2,0,4,9,48964
1777473007.3635948,2,0,10,20,21110
1777473007.3680341,2,1,4,9,86457
1777473007.369368,2,1,10,20,57588
1777473007.4563594,2,0,4,8,87068
1777473007.46142,2,0,10,21,21109
1777473007.4668639,2,1,4,8,49439
1777473007.4686408,2,1,10,20,57591
1777473007.55903,2,0,4,9,86459
1777473007.5637126,2,0,10,20,21111
1777473007.5696507,2,1,4,9,48964
1777473007.5723119,2,1,10,20,57122
1777473007.6642158,2,0,4,9,86459
1777473007.6688907,2,0,10,21,21110
1777473007.6737497,2,1,4,9,48965
1777473007.675704,2,1,10,20,57590
1777473007.7647648,2,0,4,9,87069
1777473007.7694895,2,0,10,21,20802
1777473007.7770936,2,1,4,9,48965
1777473007.7790086,2,1,10,20,57590
1777473007.8706527,2,0,4,9,87069
1777473007.876784,2,0,10,20,21108
1777473007.8822005,2,1,4,8,48970
1777473007.883957,2,1,10,21,57126
1777473007.9719732,2,0,4,8,86476
1777473007.9776723,2,0,10,20,21108
1777473007.9833734,2,1,4,8,49433
1777473007.9855294,2,1,10,20,57588
1777473008.0761108,2,0,4,8,87067
1777473008.0812614,2,0,10,20,20801
1777473008.0868325,2,1,4,9,49434
1777473008.0891469,2,1,10,20,57589
1777473008.1810043,2,0,4,9,86458
1777473008.186358,2,0,10,20,21110
1777473008.1923444,2,1,4,9,48965
1777473008.1940844,2,1,10,20,57120
1777473008.2846491,2,0,4,9,87069
1777473008.2892783,2,0,10,21,21110
1777473008.2957861,2,1,4,8,48970
1777473008.2974114,2,1,10,21,57125
1777473008.3859723,2,0,4,8,87067
1777473008.3940659,2,0,10,21,21110
1777473008.4013364,2,1,4,9,48964
1777473008.4031856,2,1,10,21,57591
1777473008.489339,2,0,4,8,86476
1777473008.4942222,2,0,10,21,21109
1777473008.4979515,2,1,4,8,48970
1777473008.4991663,2,1,10,21,57587
1777473008.5803308,2,0,4,9,87065
1777473008.5826805,2,0,10,21,20802
1777473008.5851126,2,1,4,9,49433
1777473008.5859823,2,1,10,20,57590
1777473008.6923275,2,0,4,8,87067
1777473008.6978567,2,0,10,20,21110
1777473008.7030432,2,1,4,8,49433
1777473008.705414,2,1,10,21,57126
1777473008.7944825,2,0,4,9,48964
1777473008.7995832,2,0,10,21,21109
1777473008.806357,2,1,4,9,87065
1777473008.808897,2,1,10,21,57590
1777473008.8977823,2,0,4,9,49434
1777473008.9020927,2,0,10,20,21110
1777473008.9080586,2,1,4,9,86457
1777473008.9101021,2,1,10,20,57590
1777473009.0002563,2,0,4,9,86457
1777473009.0060613,2,0,10,20,21110
1777473009.012804,2,1,4,9,49435
1777473009.0145473,2,1,10,20,57590
1777473009.1049225,2,0,4,8,87064
1777473009.1106422,2,0,10,21,20801
1777473009.1164107,2,1,4,8,86461
1777473009.1180367,2,1,10,20,57590
1777473009.2052844,2,0,4,8,87067
1777473009.2105825,2,0,10,20,20803
1777473009.2160268,2,1,4,8,48970
1777473009.2175918,2,1,10,20,57591
1777473009.3101754,2,0,4,8,86466
1777473009.31497,2,0,10,20,20801
1777473009.320521,2,1,4,8,48970
1777473009.3225844,2,1,10,20,57589
1777473009.4119968,2,0,4,8,86461
1777473009.416863,2,0,10,21,21110
1777473009.4234304,2,1,4,8,49438
1777473009.425066,2,1,10,21,57590
1777473009.5157108,2,0,4,9,87069
1777473009.521155,2,0,10,21,21107
1777473009.528525,2,1,4,9,49434
1777473009.5303633,2,1,10,20,57590
1777473009.6190014,2,0,4,9,48964
1777473009.6241803,2,0,10,20,57122
1777473009.6302974,2,1,4,9,86457
1777473009.632143,2,1,10,20,21110
1777473009.72474,2,0,4,8,48968
1777473009.7303467,2,0,10,20,57589
1777473009.73552,2,1,4,8,87065
1777473009.7369034,2,1,10,20,20801
1777473009.826033,2,0,4,9,49434
1777473009.831534,2,0,10,21,57591
1777473009.837344,2,1,4,9,86457
1777473009.8410923,2,1,10,21,21111
1777473009.9276435,2,0,4,8,49429
1777473009.9312248,2,0,10,20,57589
1777473009.935825,2,1,4,8,87065
1777473009.9369888,2,1,10,21,20800
1777473010.0291982,2,0,4,9,87065
1777473010.0342412,2,0,10,21,57125
